;Park Name;Type;Location;Geo Local Area;Summer hours;Winter hours;Wheelchair access;Note;Geom;geo_point_2d
58;Dunbar;Community Center;4747 Dunbar St;Dunbar-Southlands;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.18825196095462, 49.24281542583886], ""type"": ""Point""}";49.24281542583886, -123.18825196095462
59;False Creek;Community Center;1318 Cartwright St;Fairview;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.13402027146624, 49.269397069509424], ""type"": ""Point""}";49.269397069509424, -123.13402027146624
60;Gathering Place;Community Center;609 Helmcken St;Downtown;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.12348216441738, 49.27798999137717], ""type"": ""Point""}";49.27798999137717, -123.12348216441738
61;Marpole-Oakridge;Community Center;990 W 59th Av;Marpole;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.1286795021491, 49.21677185719873], ""type"": ""Point""}";49.21677185719873, -123.1286795021491
62;Sunset;Community Center;6810 Main St;Sunset;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.10061043466422, 49.22286659360525], ""type"": ""Point""}";49.22286659360525, -123.10061043466422
63;Jericho Beach Park;Park - Field House;Concession/fieldhouse;West Point Grey;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.19165896021171, 49.27158002043859], ""type"": ""Point""}";49.27158002043859, -123.19165896021171
64;Kitsilano Beach Park;Park - Field House;Kitsilano Showboat concession;Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15754296825496, 49.273014033025405], ""type"": ""Point""}";49.273014033025405, -123.15754296825496
65;Kitsilano Beach Park;Park - Public Washroom;Lifeguard station;Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15370297407691, 49.274471992371346], ""type"": ""Point""}";49.274471992371346, -123.15370297407691
66;Queen Elizabeth Park;Park - Public Washroom;"Under ""Seasons""";Riley Park;7:30 am - 9:00 pm;7:30 am - 9:00 pm;No;;"{""coordinates"": [-123.11176444175848, 49.24182883201732], ""type"": ""Point""}";49.24182883201732, -123.11176444175848
67;Rupert Park;Park - Field House;South side, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.03060498029191, 49.270135003328], ""type"": ""Point""}";49.270135003328, -123.03060498029191
68;VanDusen Botanical Garden;Park - Other Facilities;At front entrance;Shaughnessy;;;No;;"{""coordinates"": [-123.12863834069158, 49.23851044914224], ""type"": ""Point""}";49.23851044914224, -123.12863834069158
69;Stanley Park;Park - Public Washroom;Pitch & Putt Golf Course;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14659902498154, 49.29303503648441], ""type"": ""Point""}";49.29303503648441, -123.14659902498154
70;Stanley Park;Park - Public Washroom;SP Brewing;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14658004093586, 49.292293020819386], ""type"": ""Point""}";49.292293020819386, -123.14658004093586
71;Stanley Park;Park - Public Washroom;Lumberman's Arch;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13070797861171, 49.302925983765704], ""type"": ""Point""}";49.302925983765704, -123.13070797861171
72;Stanley Park;Park - Public Washroom;Aquarium plaza;;Dawn to Dusk;Dawn to Dusk;Yes;Not Managed by PB;"{""coordinates"": [-123.13070000527493, 49.29986799505929], ""type"": ""Point""}";49.29986799505929, -123.13070000527493
73;Stanley Park;Park - Public Washroom;Chilco - Lost Lagoon;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13859102966137, 49.29392203706443], ""type"": ""Point""}";49.29392203706443, -123.13859102966137
74;Sunset Beach;Park - Vancouver Aquatic Center;Vancouver Aquatic Center;West End;;;;;"{""coordinates"": [-123.13542456694313, 49.27677906039137], ""type"": ""Point""}";49.27677906039137, -123.13542456694313
75;Empire Fields - Hastings Park;Park - Field House;West Side;Hastings-Sunrise;;;;;"{""coordinates"": [-123.03430857894679, 49.28250644914754], ""type"": ""Point""}";49.28250644914754, -123.03430857894679
76;Spanish Banks - Extension;Park - Portable Toilet;West Parking Lot;;;;;;"{""coordinates"": [-123.23169795755233, 49.2785519050673], ""type"": ""Point""}";49.2785519050673, -123.23169795755233
77;Riley Park;Park - Public Washroom;Fieldhouse;Riley Park;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.10360324008157, 49.24203735141205], ""type"": ""Point""}";49.24203735141205, -123.10360324008157
78;CRAB Park at Portside;Park - Portland Loo;101 E Waterfront Rd;Downtown;24 hrs;24 hrs;Yes;;"{""coordinates"": [-123.10183295751148, 49.284587647061095], ""type"": ""Point""}";49.284587647061095, -123.10183295751148
79;Langara Golf Course;Park - Public Washroom;Exterior of Building;Oakridge;;;;;"{""coordinates"": [-123.1125147594454, 49.22388735761178], ""type"": ""Point""}";49.22388735761178, -123.1125147594454
80;;SmallAPT;Bute St and Davie St;West End;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.1331255518689, 49.28184849173398], ""type"": ""Point""}";49.28184849173398, -123.1331255518689
81;;SmallAPT;Nelson St and Howe St;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.12350055300317, 49.279690790811784], ""type"": ""Point""}";49.279690790811784, -123.12350055300317
82;;LargeAPT;Vancouver Art Gallery;Downtown;6am - 10pm;6am - 10pm;Yes;;"{""coordinates"": [-123.11984855327826, 49.28295538960404], ""type"": ""Point""}";49.28295538960404, -123.11984855327826
83;Andy Livingstone Park;Park - Field House;South side, fieldhouse;Downtown;10:00 am - 11:00 pm;10:00 am - 11:00 pm;Yes;;"{""coordinates"": [-123.10359902275324, 49.27782096548506], ""type"": ""Point""}";49.27782096548506, -123.10359902275324
84;Balaclava Park;Park - Field House;Central, field house;Dunbar-Southlands;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.17546094914356, 49.245233993117445], ""type"": ""Point""}";49.245233993117445, -123.17546094914356
85;Beaconsfield Park;Park - Field House;East side, fieldhouse;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0499339599333, 49.25523298884104], ""type"": ""Point""}";49.25523298884104, -123.0499339599333
86;Braemar Park;Park - Field House;East edge, fieldhouse;South Cambie;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12448302133969, 49.24742099334927], ""type"": ""Point""}";49.24742099334927, -123.12448302133969
